iter	Passed	Remaining
0	1277	509878
1	2231	444074
2	3208	424609
3	4150	410863
4	5022	396789
5	5880	386131
6	6769	380051
7	7638	374270
8	8478	368333
9	9344	364442
10	10224	361576
11	11065	357789
12	11921	354895
13	12760	351830
14	13672	350934
15	14495	347884
16	15432	347684
17	16319	346337
18	17299	346898
19	18214	346066
20	19088	344509
21	19989	343456
22	20850	341768
23	21737	340556
24	22561	338425
25	23365	336106
26	24214	334513
27	25069	333070
28	25949	331970
29	26845	331097
30	27724	330016
31	28648	329456
32	29527	328378
33	30388	327120
34	31336	326800
35	32350	327096
36	33253	326244
37	34115	324998
38	35040	324347
39	36046	324420
40	36935	323410
41	38017	324051
42	38937	323271
43	39777	321837
44	40680	320925
45	41552	319774
46	42503	319228
47	43411	318354
48	44295	317303
49	45074	315522
50	45858	313813
51	46669	312328
52	47532	311200
53	48543	311040
54	49462	310261
55	50346	309270
56	51138	307726
57	51987	306546
58	52768	304986
59	53658	304062
60	54551	303163
61	55496	302542
62	56311	301221
63	57151	300043
64	58020	299027
65	58860	297871
66	59750	296969
67	60556	295657
68	61408	294581
69	62382	294089
70	63193	292826
71	64070	291875
72	64939	290894
73	65690	289393
74	66529	288294
75	67317	286985
76	68119	285749
77	68952	284648
78	69750	283414
79	70636	282545
80	71494	281563
81	72252	280199
82	73037	278949
83	73809	277665
84	74594	276439
85	75434	275424
86	76231	274257
87	77022	273079
88	77814	271912
89	78651	270911
90	79452	269790
91	80322	268906
92	81166	267936
93	82000	266936
94	82843	265972
95	83655	264909
96	84397	263633
97	85191	262529
98	86010	261506
99	86834	260503
100	87777	259855
101	88644	258982
102	89434	257885
103	90255	256881
104	91084	255902
105	91811	254646
106	92662	253738
107	93455	252677
108	94329	251833
109	95181	250932
110	95999	249944
111	96743	248767
112	97501	247635
113	98314	246648
114	99206	245858
115	100076	245014
116	100922	244110
117	101757	243182
118	102605	242286
119	103461	241409
120	104316	240531
121	105233	239794
122	106066	238864
123	106885	237905
124	107771	237098
125	108518	235985
126	109295	234941
127	110177	234127
128	111090	233375
129	111884	232375
130	112684	231390
131	113464	230367
132	114330	229521
133	115282	228844
134	116087	227876
135	116936	226995
